Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
102 /_/itxads/,1,1020,1020,1020,"0,00","0,000%",",98039","0,63","0,66","654,0"
103 /_/ads2/,1,1038,1038,1038,"0,00","0,000%",",96339","2,09","0,64","2217,0"
104 /gemiuslib.js,1,1560,1560,1560,"0,00","0,000%",",64103","0,18","0,39","287,0"
105 /success.txt,1,1520,1520,1520,"0,00","0,000%",",65789","0,25","0,20","384,0"
106 /quad/intext_spliter/,1,976,976,976,"0,00","0,000%","1,02459","3,06","0,66","3058,0"
107 /quad/spliter/,1,994,994,994,"0,00","0,000%","1,00604","3,53","0,86","3588,0"
[98 /monika-zamachowska-z-bratem-filipem-2006-r/0006Y0Q2K9HRBCRU-C122-F4.jpg],1,2789,2789,2789,"0,00","0,000%",",35855","47,69","0,15","136191,0"
[99 /monika-zamachowska-i-zbigniew-zamachowski/0006Y0PL2F0RV4YH-C122-F4.jpg],1,2859,2859,2859,"0,00","0,000%",",34977","56,88","0,15","166520,0"
[96 /monika-zamachowska/0006Y0QQNM6X79OO-C122-F4.jpg],1,3236,3236,3236,"0,00","0,000%",",30902","63,68","0,12","211026,0"
[97 /monika-richardson-w-dniu-slub-2001-r/0006Y0Q9MD23DJLE-C122-F4.jpg],1,3869,3869,3869,"0,00","0,000%",",25846","97,24","0,11","385260,0"
webpush.interia.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
108 /_/intext_static/,1,1898,1898,1898,"0,00","0,000%",",52687","43,84","0,32","85213,0"
109 /_/both/,1,2443,2443,2443,"0,00","0,000%",",40933","45,37","0,25","113500,0"
110 /success.txt,1,903,903,903,"0,00","0,000%","1,10742","0,42","0,33","384,0"
111 /quad/intext_spliter/,1,946,946,946,"0,00","0,000%","1,05708","2,19","1,35","2118,0"
cm.em.nscontext.eu:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
api.spoldzielnia.nsaudience.pl:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
114 /success.txt,1,904,904,904,"0,00","0,000%","1,10619","0,41","0,33","384,0"
112 /mcamp/DstreetNU/advertisements/DamskieKurtkiDomeny/,1,1767,1767,1767,"0,00","100,000%",",56593","16,89","0,70","30565,0"
115 /1/hit.t,1,925,925,925,"0,00","0,000%","1,08108","0,94","1,83","891,0"
116 /_1508176723148/redot.gif,1,936,936,936,"0,00","0,000%","1,06838","0,61","1,02","583,0"
117 /_1508176723151/redot.gif,1,937,937,937,"0,00","0,000%","1,06724","0,61","1,03","583,0"
118 /favicon.ico,1,843,843,843,"0,00","100,000%","1,18624","1,90","0,50","1640,0"
119 /xgemius.js,1,933,933,933,"0,00","0,000%","1,07181","5,01","0,30","4790,0"
113 /_/getBaloons/,1,1936,1936,1936,"0,00","100,000%",",51653","26,31","0,32","52165,0"
120 /success.txt,1,1089,1089,1089,"0,00","0,000%",",91827","0,34","0,28","384,0"
iwa.iplsc.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","942,0"
121 /1/hit.t,1,4119,4119,4119,"0,00","0,000%",",24278","0,21","0,32","891,0"
122 /_1508176728227/ad.js,1,1302,1302,1302,"0,00","0,000%",",76805","21,75","0,50","29004,0"
RAZEM,152,1236,0,7709,"1115,19","25,000%","15,50388","217,51","7,38","14366,0"
